,Movie,Year,Genre,Rating,metaScore,Votes,Length,Age Certificate
598,Paths of Glory,1957,"Drama, War",8.4,90.0,173962,88,Approved
975,Willy Wonka & the Chocolate Factory,1971,"Family, Fantasy, Musical",7.8,67.0,174957,100,G
30,Adaptation.,2002,"Comedy, Drama",7.7,83.0,175299,115,R
803,The Hunt for Red October,1990,"Action, Adventure, Thriller",7.6,58.0,175766,135,PG
718,Straight Outta Compton,2015,"Biography, Drama, History",7.8,72.0,176795,147,R
118,Blue Velvet,1986,"Drama, Mystery, Thriller",7.7,76.0,177472,120,R
696,Snow White and the Seven Dwarfs,1937,"Animation, Family, Fantasy",7.6,95.0,178044,83,Approved
973,Who Framed Roger Rabbit,1988,"Animation, Adventure, Comedy",7.7,83.0,179245,104,PG
749,The Blues Brothers,1980,"Action, Adventure, Comedy",7.9,60.0,179732,133,R
528,Misery,1990,"Drama, Thriller",7.8,75.0,180241,107,R
173,Close Encounters of the Third Kind,1977,"Drama, Sci-Fi",7.6,90.0,181437,138,PG
421,Your Name.,2016,"Animation, Drama, Fantasy",8.4,79.0,181919,106,PG
149,Captain Fantastic,2016,"Comedy, Drama",7.9,72.0,183557,118,R
618,Primal Fear,1996,"Crime, Drama, Mystery",7.7,47.0,183628,129,R
690,Sleepers,1996,"Crime, Drama, Thriller",7.6,49.0,184308,147,R
128,Brazil,1985,"Drama, Sci-Fi",7.9,84.0,185073,132,R
190,Dark City,1998,"Mystery, Sci-Fi, Thriller",7.6,66.0,185791,100,R
490,Run Lola Run,1998,"Crime, Drama, Thriller",7.6,77.0,186446,80,R
754,The Boy in the Striped Pajamas,2008,"Drama, War",7.8,55.0,186794,94,PG-13
667,The Raid: Redemption,2011,"Action, Thriller",7.6,73.0,187908,101,R
650,Rosemary's Baby,1968,"Drama, Horror",8.0,96.0,188972,137,Approved
253,The Secret in Their Eyes,2009,"Drama, Mystery, Romance",8.2,80.0,189042,129,R
785,The Gentlemen,2019,"Action, Comedy, Crime",7.9,51.0,189984,113,R
700,"South Park: Bigger, Longer & Uncut",1999,"Animation, Comedy, Fantasy",7.7,73.0,190364,81,R
969,When Harry Met Sally...,1989,"Comedy, Drama, Romance",7.6,76.0,191594,95,R
924,Toy Story 4,2019,"Animation, Adventure, Comedy",7.8,84.0,191938,100,G
178,Coraline,2009,"Animation, Drama, Family",7.7,80.0,192033,100,PG
925,Traffic,2000,"Crime, Drama, Thriller",7.6,86.0,193682,147,R
602,A Fistful of Dollars,1964,"Action, Drama, Western",8.0,65.0,193802,99,R
270,Fantastic Mr. Fox,2009,"Animation, Adventure, Comedy",7.9,83.0,194115,87,PG
348,Hidden Figures,2016,"Biography, Drama, History",7.8,74.0,194761,127,PG
637,Remember the Titans,2000,"Biography, Drama, Sport",7.8,48.0,195132,113,PG
278,Finding Neverland,2004,"Biography, Drama, Family",7.7,67.0,196704,106,PG
976,Wind River,2017,"Crime, Drama, Mystery",7.7,73.0,196795,107,R
721,Sunset Blvd.,1950,"Drama, Film-Noir",8.4,,197268,110,Passed
151,Carlito's Way,1993,"Crime, Drama, Thriller",7.9,65.0,197561,144,R
795,The Great Dictator,1940,"Comedy, Drama, War",8.4,,198681,125,Passed
882,The Sound of Music,1965,"Biography, Drama, Family",8.0,63.0,199373,172,G
345,Hell or High Water,2016,"Action, Crime, Drama",7.6,88.0,199449,102,R
137,Butch Cassidy and the Sundance Kid,1969,"Biography, Crime, Drama",8.0,66.0,199681,110,PG
756,The Bridge on the River Kwai,1957,"Adventure, Drama, War",8.1,87.0,199827,161,PG
144,Call Me by Your Name,2017,"Drama, Romance",7.9,93.0,201932,132,R
498,Let the Right One In,2008,"Crime, Drama, Fantasy",7.9,82.0,203195,114,R
934,True Romance,1993,"Crime, Drama, Romance",7.9,59.0,203444,119,R
516,Match Point,2005,"Drama, Romance, Thriller",7.6,72.0,203582,124,R
553,The Girl with the Dragon Tattoo,2009,"Crime, Drama, Mystery",7.8,76.0,206598,152,R
485,Lion,2016,"Biography, Drama",8.0,69.0,208109,118,PG-13
988,Ip Man,2008,"Action, Biography, Drama",8.0,59.0,208781,106,R
172,Clerks,1994,Comedy,7.7,70.0,209698,92,R
35,Airplane!,1980,Comedy,7.7,78.0,209977,88,PG
